Transaction_ID,Year,Season,Category,City,State,Customer_ID,Product_ID,Payment_Mode,MRP,Discount_%,Quantity,Return_Flag,Out_of_Stock,Hour_of_Day,Selling_Price,Revenue,Margin,Discount_Amount,Profit,Profit_Margin_%,Date,Hour_Bin
T1,2022,Festive,Beauty,Pune,Tamil Nadu,C215,P439,Wallet,36870.02,37,2,0,0,22,23228.11,46456.22,27283.819999999992,13641.9074,23228.11,50.0,2022-11-15,Evening
T2,2023,Monsoon,Mobiles,Bangalore,West Bengal,C1296,P488,COD,32159.25,39,1,0,0,18,19617.14,19617.14,12542.11,12542.1075,0.0,0.0,2023-09-15,Afternoon
T3,2021,Summer,Electronics,Hyderabad,West Bengal,C1288,P129,Wallet,37994.27,58,1,0,0,8,15957.59,15957.59,22036.68,22036.676599999995,0.0,0.0,2021-06-15,Morning
T4,2023,Winter,Beauty,Pune,Telangana,C1621,P194,Wallet,41038.08,60,4,0,0,12,16415.23,65660.92,98491.4,24622.848,49245.69,75.0,2023-12-15,Morning
T5,2023,Summer,Home,Bangalore,Delhi,C383,P261,Wallet,46164.46,19,3,0,0,17,37393.21,112179.63,26313.75,8771.2474,74786.42000000001,66.66666666666667,2023-06-15,Afternoon
T6,2020,Festive,Beauty,Kolkata,Karnataka,C758,P209,Credit Card,21660.65,8,4,0,0,3,19927.8,79711.2,6931.400000000009,1732.852,59783.399999999994,75.0,2020-11-15,Night
T7,2021,Festive,Beauty,Kolkata,Maharashtra,C927,P55,Credit Card,49237.93,68,2,0,0,19,15756.14,31512.28,66963.58,33481.792400000006,15756.14,50.0,2021-11-15,Evening
T8,2021,Monsoon,Home,Delhi,Maharashtra,C1917,P329,COD,10939.91,26,2,0,0,0,8095.53,16191.06,5688.76,2844.3765999999996,8095.53,50.0,2021-09-15,Night
T9,2021,Festive,Home,Pune,Maharashtra,C1184,P314,UPI,35775.39,28,2,0,0,19,25758.28,51516.56,20034.22,10017.109199999999,25758.28,50.0,2021-11-15,Evening
T10,2023,Festive,Grocery,Pune,Telangana,C1604,P106,Wallet,26793.66,51,4,0,0,2,13128.89,52515.56,54659.08,13664.766599999999,39386.67,75.0,2023-11-15,Night
T11,2022,Summer,Electronics,Pune,Telangana,C569,P150,UPI,40881.65,10,3,1,1,10,36793.48,110380.44,12264.509999999997,4088.165,73586.95999999999,66.66666666666666,2022-06-15,Morning
T12,2021,Festive,Home,Chennai,Tamil Nadu,C424,P110,Credit Card,23943.17,31,4,0,0,1,16520.79,66083.16,29689.51999999999,7422.382699999999,49562.37,75.0,2021-11-15,Night
T13,2023,Festive,Fashion,Mumbai,Telangana,C1233,P324,Wallet,39240.14,14,4,0,0,5,33746.52,134986.08,21974.48000000001,5493.6196,101239.56,75.0,2023-11-15,Night
T14,2020,Winter,Fashion,Hyderabad,West Bengal,C1109,P191,UPI,46522.4,43,2,0,1,2,26517.77,53035.54,40009.26,20004.631999999998,26517.77,50.0,2020-12-15,Night
T15,2022,Festive,Electronics,Pune,Tamil Nadu,C1529,P96,UPI,36668.25,41,2,0,0,9,21634.27,43268.54,30067.96,15033.9825,21634.27,50.0,2022-11-15,Morning
T16,2020,Winter,Mobiles,Mumbai,Tamil Nadu,C1660,P486,Debit Card,38849.5,58,1,0,0,8,16316.79,16316.79,22532.71,22532.71,0.0,0.0,2020-12-15,Morning
T17,2022,Festive,Mobiles,Chennai,Maharashtra,C1890,P421,Credit Card,3545.34,55,3,0,0,13,1595.4,4786.200000000001,5849.82,1949.9370000000001,3190.8000000000006,66.66666666666667,2022-11-15,Afternoon
T18,2023,Festive,Fashion,Kolkata,Maharashtra,C1742,P257,COD,10406.89,64,3,0,0,15,3746.48,11239.44,19981.23,6660.4096,7492.960000000001,66.66666666666667,2023-11-15,Afternoon
T19,2019,Monsoon,Home,Hyderabad,Karnataka,C1711,P85,COD,48720.33,55,3,0,0,23,21924.15,65772.45000000001,80388.54000000001,26796.1815,43848.30000000001,66.66666666666667,2019-09-15,Evening
T20,2022,Monsoon,Electronics,Bangalore,Delhi,C1227,P34,Debit Card,34720.71,66,4,0,0,23,11805.04,47220.16,91662.68,22915.668599999997,35415.12,75.0,2022-09-15,Evening
T21,2020,Winter,Mobiles,Kolkata,Telangana,C778,P375,UPI,28160.16,53,2,1,0,17,13235.28,26470.56,29849.76,14924.8848,13235.28,50.0,2020-12-15,Afternoon
T22,2023,Festive,Mobiles,Kolkata,Delhi,C670,P327,Debit Card,18475.42,55,2,0,0,21,8313.94,16627.88,20322.959999999995,10161.480999999998,8313.94,50.0,2023-11-15,Evening
T23,2022,Summer,Beauty,Delhi,Delhi,C1281,P418,Debit Card,2410.57,32,1,0,0,3,1639.19,1639.19,771.3800000000001,771.3824000000001,0.0,0.0,2022-06-15,Night
T24,2019,Monsoon,Fashion,Chennai,Delhi,C475,P276,Credit Card,18582.97,40,4,0,0,17,11149.78,44599.12,29732.76,7433.188,33449.340000000004,75.0,2019-09-15,Afternoon
T25,2019,Summer,Home,Delhi,Tamil Nadu,C1517,P343,Wallet,25045.86,29,3,0,0,1,17782.56,53347.68000000001,21789.9,7263.299400000001,35565.12000000001,66.66666666666667,2019-06-15,Night
T26,2021,Monsoon,Electronics,Delhi,Delhi,C1493,P127,UPI,10730.68,40,4,0,0,9,6438.41,25753.64,17169.08,4292.272,19315.23,75.0,2021-09-15,Morning
T27,2021,Monsoon,Mobiles,Mumbai,Telangana,C95,P322,COD,8822.21,64,2,0,0,11,3176.0,6352.0,11292.419999999998,5646.2144,3176.0,50.0,2021-09-15,Morning
T28,2020,Festive,Beauty,Kolkata,Tamil Nadu,C446,P106,COD,25519.14,11,1,1,0,6,22712.03,22712.03,2807.1100000000006,2807.1054,0.0,0.0,2020-11-15,Night
T29,2022,Monsoon,Fashion,Chennai,Telangana,C233,P419,Debit Card,29378.03,69,4,0,0,15,9107.19,36428.76,81083.35999999999,20270.840699999997,27321.57,75.0,2022-09-15,Afternoon
T30,2022,Summer,Fashion,Delhi,Tamil Nadu,C1590,P215,Debit Card,12147.91,40,2,0,0,16,7288.75,14577.5,9718.32,4859.164000000001,7288.75,50.0,2022-06-15,Afternoon
T31,2021,Monsoon,Electronics,Bangalore,Maharashtra,C12,P422,Debit Card,29452.0,34,4,0,0,13,19438.32,77753.28,40054.72,10013.68,58314.96,75.0,2021-09-15,Afternoon
T32,2022,Winter,Mobiles,Hyderabad,Maharashtra,C689,P199,UPI,45036.93,51,2,0,0,23,22068.1,44136.2,45937.66,22968.834300000002,22068.1,50.0,2022-12-15,Evening
T33,2022,Festive,Electronics,Pune,Maharashtra,C38,P81,Debit Card,23764.03,33,4,0,0,20,15921.9,63687.6,31368.52,7842.1299,47765.7,75.0,2022-11-15,Evening
T34,2019,Festive,Electronics,Chennai,Maharashtra,C1544,P16,Debit Card,42898.03,9,3,0,0,23,39037.21,117111.63,11582.46,3860.8227,78074.42000000001,66.66666666666667,2019-11-15,Evening
T35,2021,Winter,Grocery,Mumbai,Tamil Nadu,C329,P335,Wallet,46378.12,69,4,0,0,17,14377.22,57508.88,128003.6,32000.902800000003,43131.659999999996,75.0,2021-12-15,Afternoon
T36,2023,Winter,Beauty,Chennai,Delhi,C1311,P318,UPI,4801.22,67,4,0,0,0,1584.4,6337.6,12867.28,3216.8174,4753.200000000001,75.00000000000001,2023-12-15,Night
T37,2021,Winter,Fashion,Kolkata,Karnataka,C1794,P323,Credit Card,4971.42,60,3,0,0,1,1988.57,5965.71,8948.550000000001,2982.8520000000003,3977.1400000000003,66.66666666666667,2021-12-15,Night
T38,2023,Monsoon,Grocery,Mumbai,Maharashtra,C268,P112,Credit Card,23907.0,21,4,0,0,13,18886.53,75546.12,20081.880000000005,5020.47,56659.59,75.0,2023-09-15,Afternoon
T39,2019,Festive,Home,Hyderabad,West Bengal,C621,P312,Wallet,29487.5,55,2,0,0,5,13269.37,26538.74,32436.26,16218.125,13269.37,50.0,2019-11-15,Night
T40,2020,Winter,Fashion,Bangalore,Karnataka,C714,P274,COD,21409.0,41,2,0,0,14,12631.31,25262.62,17555.38,8777.69,12631.31,50.0,2020-12-15,Afternoon
T41,2022,Monsoon,Fashion,Delhi,Maharashtra,C770,P361,Credit Card,16457.25,13,2,0,0,3,14317.81,28635.62,4278.880000000001,2139.4425,14317.81,50.0,2022-09-15,Night
T42,2019,Winter,Beauty,Chennai,Delhi,C406,P8,UPI,32121.51,42,2,1,0,23,18630.48,37260.96,26982.06,13491.0342,18630.48,50.0,2019-12-15,Evening
T43,2022,Summer,Home,Mumbai,Telangana,C360,P97,COD,303.66,57,2,0,0,8,130.57,261.14,346.18000000000006,173.08620000000002,130.57,50.0,2022-06-15,Morning
T44,2020,Summer,Mobiles,Hyderabad,Delhi,C1861,P313,Debit Card,48410.05,17,3,0,0,14,40180.34,120541.02,24689.13000000002,8229.7085,80360.68000000001,66.66666666666667,2020-06-15,Afternoon
T45,2020,Festive,Home,Delhi,Telangana,C325,P158,UPI,11757.54,57,3,0,0,4,5055.74,15167.22,20105.4,6701.7978,10111.48,66.66666666666666,2020-11-15,Night
T46,2019,Monsoon,Mobiles,Pune,Karnataka,C313,P156,COD,45871.52,53,4,0,0,5,21559.61,86238.44,97247.63999999998,24311.905600000002,64678.83,75.0,2019-09-15,Night
T47,2020,Summer,Home,Hyderabad,Delhi,C1222,P66,Credit Card,5628.93,39,2,0,0,10,3433.65,6867.3,4390.56,2195.2827,3433.65,50.0,2020-06-15,Morning
T48,2023,Summer,Electronics,Bangalore,Delhi,C1822,P139,Debit Card,12056.74,20,4,0,0,12,9645.39,38581.56,9645.4,2411.348,28936.17,75.0,2023-06-15,Morning
T49,2020,Monsoon,Home,Delhi,West Bengal,C476,P299,Debit Card,11896.71,17,2,0,0,11,9874.27,19748.54,4044.879999999997,2022.4406999999999,9874.27,50.0,2020-09-15,Morning
T50,2022,Winter,Grocery,Delhi,Karnataka,C1042,P488,UPI,49808.41,15,4,0,0,6,42337.15,169348.6,29885.040000000008,7471.2615000000005,127011.45000000001,75.0,2022-12-15,Night
T51,2022,Monsoon,Grocery,Pune,Delhi,C56,P123,Debit Card,429.11,6,3,0,1,19,403.36,1210.08,77.25,25.746599999999997,806.7199999999999,66.66666666666666,2022-09-15,Evening
T52,2022,Winter,Beauty,Delhi,Telangana,C1328,P240,COD,32053.98,23,2,1,0,11,24681.56,49363.12,14744.839999999997,7372.415400000001,24681.56,50.0,2022-12-15,Morning
T53,2022,Summer,Mobiles,Mumbai,Maharashtra,C959,P159,Wallet,43510.39,49,3,0,0,9,22190.3,66570.9,63960.27,21320.091099999998,44380.59999999999,66.66666666666666,2022-06-15,Morning
T54,2023,Summer,Fashion,Delhi,Delhi,C1626,P363,Credit Card,33679.23,50,4,0,0,2,16839.62,67358.48,67358.44000000002,16839.615,50518.86,75.0,2023-06-15,Night
T55,2021,Summer,Beauty,Hyderabad,Telangana,C1547,P322,UPI,18264.14,51,3,0,0,1,8949.43,26848.29,27944.13,9314.7114,17898.86,66.66666666666666,2021-06-15,Night
T56,2019,Festive,Grocery,Mumbai,Maharashtra,C656,P95,Wallet,47923.81,53,3,0,0,19,22524.19,67572.56999999999,76198.86,25399.6193,45048.37999999999,66.66666666666666,2019-11-15,Evening
T57,2022,Festive,Grocery,Delhi,Delhi,C649,P142,Wallet,44697.33,46,3,0,0,20,24136.56,72409.68000000001,61682.31,20560.771800000002,48273.12000000001,66.66666666666667,2022-11-15,Evening
T58,2020,Festive,Mobiles,Hyderabad,Telangana,C629,P179,UPI,21810.96,37,1,0,0,0,13740.9,13740.9,8070.059999999999,8070.0552,0.0,0.0,2020-11-15,Night
T59,2022,Monsoon,Grocery,Hyderabad,Maharashtra,C1913,P330,COD,28751.76,45,4,0,0,20,15813.47,63253.88,51753.16,12938.292,47440.409999999996,75.0,2022-09-15,Evening
T60,2020,Summer,Grocery,Chennai,Karnataka,C1667,P40,Credit Card,48382.46,23,4,0,0,5,37254.49,149017.96,44511.880000000005,11127.9658,111763.47,75.0,2020-06-15,Night
T61,2020,Summer,Mobiles,Hyderabad,Maharashtra,C1565,P445,UPI,49131.51,43,2,0,0,12,28004.96,56009.92,42253.100000000006,21126.549300000002,28004.96,50.0,2020-06-15,Morning
T62,2022,Monsoon,Grocery,Pune,Delhi,C1499,P201,Wallet,22601.2,11,2,0,0,9,20115.07,40230.14,4972.260000000002,2486.132,20115.07,50.0,2022-09-15,Morning
T63,2023,Festive,Fashion,Kolkata,West Bengal,C827,P25,Wallet,42398.03,43,2,0,0,12,24166.88,48333.76,36462.3,18231.1529,24166.88,50.0,2023-11-15,Morning
T64,2020,Monsoon,Electronics,Bangalore,Telangana,C1177,P94,UPI,15238.62,38,3,0,1,21,9447.94,28343.82,17372.04,5790.6756000000005,18895.879999999997,66.66666666666666,2020-09-15,Evening
T65,2020,Festive,Beauty,Delhi,Maharashtra,C1672,P331,Wallet,18716.28,48,4,0,0,4,9732.47,38929.88,35935.24,8983.8144,29197.409999999996,75.0,2020-11-15,Night
T66,2022,Summer,Fashion,Pune,West Bengal,C195,P296,UPI,8408.13,67,3,0,0,7,2774.68,8324.039999999999,16900.35,5633.447099999999,5549.359999999999,66.66666666666666,2022-06-15,Morning
T67,2020,Winter,Fashion,Delhi,Delhi,C1911,P479,UPI,10617.39,52,4,0,0,20,5096.35,20385.4,22084.16,5521.0428,15289.050000000001,75.0,2020-12-15,Evening
T68,2020,Festive,Electronics,Delhi,Telangana,C1936,P281,Credit Card,32912.29,7,3,0,0,10,30608.43,91825.29,6911.580000000002,2303.8603,61216.85999999999,66.66666666666666,2020-11-15,Morning
T69,2022,Summer,Beauty,Hyderabad,Delhi,C1800,P89,UPI,25636.92,38,2,0,0,18,15894.89,31789.78,19484.06,9742.0296,15894.89,50.0,2022-06-15,Afternoon
T70,2022,Summer,Fashion,Hyderabad,Maharashtra,C190,P328,Wallet,11710.37,13,3,0,0,18,10188.02,30564.06,4567.050000000001,1522.3481,20376.04,66.66666666666666,2022-06-15,Afternoon
T71,2019,Winter,Grocery,Delhi,Maharashtra,C760,P47,Debit Card,20264.9,65,1,0,0,3,7092.72,7092.72,13172.18,13172.185,0.0,0.0,2019-12-15,Night
T72,2023,Summer,Electronics,Kolkata,Maharashtra,C876,P435,Credit Card,18784.54,24,2,0,0,9,14276.25,28552.5,9016.580000000002,4508.2896,14276.25,50.0,2023-06-15,Morning
T73,2023,Summer,Beauty,Mumbai,Maharashtra,C531,P267,Wallet,49370.54,44,1,0,0,23,27647.5,27647.5,21723.04,21723.037600000003,0.0,0.0,2023-06-15,Evening
T74,2020,Festive,Home,Mumbai,Delhi,C1156,P467,Wallet,42707.58,16,1,1,1,8,35874.37,35874.37,6833.209999999999,6833.2128,0.0,0.0,2020-11-15,Morning
